% Model:              two_particles_2d.mph
% Version:            COMSOL 6.2.0.415
% Date:               Dec 13 2024, 10:23
% Table:              Tabelle 2 - Linienintegration 1
% w                                               (-D*F*u21y+D*F*u22y-F*mu*(c0+u21)*u23y-F*mu*(c0+u22)*u23y)/(sigma0*E0*2*L) (1)
0.1                                               0.9671945619406986+8.358758238985092E-8i
0.1263848202934298                                0.9671945628335448+1.0561082579723025E-7i
0.15973122800602543                               0.967194564256298+1.3341321175862367E-7i
0.2018760254679039                                0.9671945665232934+1.6848758772793422E-7i
0.25514065200312885                               0.9671945701314516+2.1268872171984986E-7i
0.32245905452963947                               0.9671945758615151+2.682975397867487E-7i
0.4075392965871777                                0.9671945849294997+3.380732506368062E-7i
0.5150678076168125                                0.9671945992062898+4.2526620570480886E-7i
0.6509675230458171                                0.9671946215043314+5.335433765568139E-7i
0.822724134170047                                 0.9671946559167576+6.667546329909424E-7i
1.03979841848149                                  0.9671947081200584+8.284612250718041E-7i
1.3141473626117568                                0.9671947854843245+1.0211987276492184E-6i
1.6608827826277157                                0.9671948967676327+1.2455850786171845E-6i
2.0991037201085545                                0.9671950513249369+1.4995383690106262E-6i
2.6529484644318972                                0.9671952578939557+1.7778755614440834E-6i
3.3529241492495583                                0.9671955231152967+2.0725078892924125E-6i
4.237587160604064                                 0.9671958501041824+2.3736011000256683E-6i
5.355666917706899                                 0.9671962380943434+2.671741493112008E-6i
6.768750009458534                                 0.9671966839692688+2.959685227874925E-6i
8.554672535565684                                 0.9671971843771392+3.2320542336041274E-6i
10.811807510766078                                0.9671977363649872+3.483741358488027E-6i
13.664483492953257                                0.9671983366081518+3.7087907736445043E-6i
17.26983290659436                                 0.9671989800775892+3.900191564398436E-6i
21.826447283974872                                0.9671996586247567+4.050976922797048E-6i
27.58531617629184                                 0.9672003610024662+4.156618031639156E-6i
34.863652276780876                                0.9672010750900427+4.216548330086712E-6i
44.06236427773573                                 0.9672017902050569+4.233357839921081E-6i
55.68813990945273                                 0.9672024977560707+4.2111614640100445E-6i
70.38135554931561                                 0.9672031909675254+4.154653172708337E-6i
88.95134973108236                                 0.9672038646238343+4.068644640148121E-6i
112.42100350620873                                0.9672045148291373+3.957703170563143E-6i
142.08308325339223                                0.9672051386815007+3.825920404378778E-6i
179.5714494371641                                 0.9672057339533449+3.676812477053696E-6i
226.9510536694671                                 0.9672062987378204+3.5133295943165153E-6i
286.83168133420116                                0.9672068311091279+3.3380256004566822E-6i
362.51170499885353                                0.9672073288645433+3.153410964271518E-6i
458.1597669054491                                 0.9672077894802484+2.962414594333237E-6i
579.0443980602489                                 0.9672082102678001+2.768827723579346E-6i
731.8242219076182                                 0.9672085887016431+2.5776320379924136E-6i
924.9147277217335                                 0.9672089228196712+2.3951671105039036E-6i
1168.9518164985777                                0.9672092115743397+2.2291360361582806E-6i
1477.3776525985127                                0.9672094551152237+2.088489085820831E-6i
1867.1810912919207                                0.9672096548608959+1.9832662356156326E-6i
2359.8334667821937                                0.967209813381589+1.9245047090421674E-6i
2982.471286216894                                 0.967209934120282+1.9243216982368542E-6i
3769.3909753883636                                0.9672100209841451+1.9962599865595383E-6i
4763.938010401341                                 0.967210077920126+2.1559493302082845E-6i
6020.894493336138                                 0.9672101085464705+2.422103049018268E-6i
7609.496685459883                                 0.9672101158819942+2.8178475764831422E-6i
9617.248711152964                                 0.9672101022147277+3.3723861874947067E-6i
12154.742500762884                                0.9672100690943041+4.1230193535087495E-6i
15361.749466718296                                0.9672100174376711+5.1175811129679656E-6i
19414.919457438817                                0.9672099477168151+6.417396964575311E-6i
24537.51106639822                                 0.9672098602363772+8.100911553489679E-6i
31011.689265747817                                0.9672097554953781+1.0268187523980386E-5i
39194.06774847221                                 0.9672096346674065+1.3046532572942535E-5i
49535.352089591805                                0.9672095003000177+1.659757787139616E-5i
62605.16572014828                                 0.9672093573323413+2.112620396478344E-5i
79123.42618981327                                 0.9672092146824829+2.6891791705737827E-5i
100000                                            0.9672090877280093+3.4222375921643625E-5i
