% Model:              two_particles_2d.mph
% Version:            COMSOL 6.2.0.415
% Date:               Jan 24 2025, 11:11
% Table:              Table 2 - Linienintegration 1
% w                                               (-D*F*u21y+D*F*u22y-F*mu*(c0+u21)*u23y-F*mu*(c0+u22)*u23y)/(sigma0*E0*2*L) (1)
0.1                                               0.9618662168355049+1.2740363594404005E-7i
0.1263848202934298                                0.9618662179841946+1.6098749111272168E-7i
0.15973122800602543                               0.9618662198183281+2.034005083334955E-7i
0.2018760254679039                                0.9618662227433477+2.569399371587836E-7i
0.25514065200312885                               0.9618662274041863+3.244766055377447E-7i
0.32245905452963947                               0.9618662348237683+4.0957390481778994E-7i
0.4075392965871777                                0.961866246609386+5.166069326480287E-7i
0.5150678076168125                                0.9618662652716992+6.508536195293113E-7i
0.6509675230458171                                0.961866294675914+8.185005621746125E-7i
0.822724134170047                                 0.9618663406535535+1.0264600330913896E-6i
1.03979841848149                                  0.9618664117436212+1.2818349414865323E-6i
1.3141473626117568                                0.961866519879908+1.590823393550449E-6i
1.6608827826277157                                0.9618666806684053+1.956898381691628E-6i
2.0991037201085545                                0.9618669125634466+2.3783651672839148E-6i
2.6529484644318972                                0.961867234193813+2.84605377304597E-6i
3.3529241492495583                                0.9618676596860448+3.34289584356262E-6i
4.237587160604064                                 0.9618681938867526+3.84740439067178E-6i
5.355666917706899                                 0.9618688315220753+4.340510172872329E-6i
6.768750009458534                                 0.9618695623328555+4.810747401954241E-6i
8.554672535565684                                 0.961870377988134+5.253069979857561E-6i
10.811807510766078                                0.9618712746617911+5.66315089544106E-6i
13.664483492953257                                0.9618722502577343+6.032589070782895E-6i
17.26983290659436                                 0.9618732991166983+6.348190868956707E-6i
21.826447283974872                                0.9618744079923858+6.596019331690001E-6i
27.58531617629184                                 0.961875557135609+6.767393182665685E-6i
34.863652276780876                                0.9618767256607132+6.861223375959469E-6i
44.06236427773573                                 0.9618778955170373+6.881591936627585E-6i
55.68813990945273                                 0.9618790519064242+6.834893551076009E-6i
70.38135554931561                                 0.9618801827016853+6.728721163622272E-6i
88.95134973108236                                 0.9618812783124263+6.571288896626922E-6i
112.42100350620873                                0.9618823314992738+6.370783932409362E-6i
142.08308325339223                                0.961883337002449+6.134879308411219E-6i
179.5714494371641                                 0.961884291115843+5.870386775307967E-6i
226.9510536694671                                 0.9618851911015256+5.583059878320111E-6i
286.83168133420116                                0.9618860345058589+5.277716027771704E-6i
362.51170499885353                                0.9618868186060717+4.9587490917151626E-6i
458.1597669054491                                 0.961887540207166+4.6308869575809824E-6i
579.0443980602489                                 0.9618881958398601+4.299943826853161E-6i
731.8242219076182                                 0.9618887822540596+3.973379028158107E-6i
924.9147277217335                                 0.9618892970583939+3.6605732645722713E-6i
1168.9518164985777                                0.9618897393243196+3.3728116524943873E-6i
1477.3776525985127                                0.9618901100273982+3.1230368261180493E-6i
1867.1810912919207                                0.9618904121732363+2.9255060142098158E-6i
2359.8334667821937                                0.9618906506012279+2.795533237161289E-6i
2982.471286216894                                 0.9618908314893778+2.7494961515292984E-6i
3769.3909753883636                                0.9618909616847066+2.8052492038962304E-6i
4763.938010401341                                 0.9618910479871791+2.9830180119837312E-6i
6020.894493336138                                 0.9618910965513467+3.3067872386775826E-6i
7609.496685459883                                 0.9618911124659311+3.8061574582268106E-6i
9617.248711152964                                 0.9618910995536734+4.518643851299013E-6i
12154.742500762884                                0.961891060390081+5.492428546597889E-6i
15361.749466718296                                0.9618909964841804+6.789633374741071E-6i
19414.919457438817                                0.9618909085884119+8.490248989511399E-6i
24537.51106639822                                 0.9618907971139035+1.0696922471390108E-5i
31011.689265747817                                0.9618906626589001+1.3540873608465151E-5i
39194.06774847221                                 0.9618905066812644+1.7189288398220582E-5i
49535.352089591805                                0.9618903324471894+2.185461921944767E-5i
62605.16572014828                                 0.9618901464114934+2.780631639599082E-5i
79123.42618981327                                 0.9618899603476587+3.538561735831914E-5i
100000                                            0.9618897946645988+4.5024148797207236E-5i
