% Model:              two_particles_2d.mph
% Version:            COMSOL 6.2.0.415
% Date:               Dec 12 2024, 17:01
% Table:              Tabelle 2 - Linienintegration 1
% w                                               (-D*F*u21y+D*F*u22y-F*mu*(c0+u21)*u23y-F*mu*(c0+u22)*u23y)/(sigma0*E0*2*L) (1)
0.1                                               0.9604046844465425+3.4993989067188394E-7i
0.1263848202934298                                0.960404685086963+4.422683921853243E-7i
0.15973122800602543                               0.9604046861096965+5.589550461324016E-7i
0.2018760254679039                                0.9604046877435329+7.064241025883803E-7i
0.25514065200312885                               0.9604046903529947+8.927921855195593E-7i
0.32245905452963947                               0.9604046945209266+1.1283121204426831E-6i
0.4075392965871777                                0.9604047011777598+1.4259311144683603E-6i
0.5150678076168125                                0.9604047118091573+1.801990662450056E-6i
0.6509675230458171                                0.9604047287865319+2.277099931007849E-6i
0.822724134170047                                 0.9604047558940872+2.8772170425948555E-6i
1.03979841848149                                  0.9604047991658271+3.634970275277499E-6i
1.3141473626117568                                0.960404868214362+4.591236700870237E-6i
1.6608827826277157                                0.9604049783287472+5.796954751278233E-6i
2.0991037201085545                                0.9604051537633699+7.315050975855604E-6i
2.6529484644318972                                0.9604054328389842+9.222154799512963E-6i
3.3529241492495583                                0.9604058757040655+1.1609357620484206E-5i
4.237587160604064                                 0.9604065757794991+1.4580474201129187E-5i
5.355666917706899                                 0.9604076757267126+1.824484415537153E-5i
6.768750009458534                                 0.9604093875106288+2.2699473237197897E-5i
8.554672535565684                                 0.9604120122548145+2.799260532352142E-5i
10.811807510766078                                0.9604159468101556+3.405992847987034E-5i
13.664483492953257                                0.960421649304226+4.063232228333634E-5i
17.26983290659436                                 0.9604295234874225+4.7142295942276555E-5i
21.826447283974872                                0.9604397010860162+5.27090391811221E-5i
27.58531617629184                                 0.9604517934404783+5.63157555715421E-5i
34.863652276780876                                0.9604648145745652+5.720098837260593E-5i
44.06236427773573                                 0.9604774560900958+5.5248435804204786E-5i
55.68813990945273                                 0.9604885975948637+5.104752924927994E-5i
70.38135554931561                                 0.9604976773607059+4.5564146517804684E-5i
88.95134973108236                                 0.9605046997986413+3.9710771671557245E-5i
112.42100350620873                                0.9605099984012322+3.4103454823500844E-5i
142.08308325339223                                0.9605139882056047+2.904774196941523E-5i
179.5714494371641                                 0.9605170291146743+2.4637617253069303E-5i
226.9510536694671                                 0.960519390703402+2.085619910690254E-5i
286.83168133420116                                0.9605212617288705+1.763822218219797E-5i
362.51170499885353                                0.9605227675944085+1.4904024473484581E-5i
458.1597669054491                                 0.960523988205555+1.2579090476968714E-5i
579.0443980602489                                 0.9605249751449024+1.0602836898267253E-5i
731.8242219076182                                 0.9605257647562567+8.929428516471966E-6i
924.9147277217335                                 0.9605263860720674+7.525130619194939E-6i
1168.9518164985777                                0.9605268649049672+6.36500716753215E-6i
1477.3776525985127                                0.9605272254452218+5.430097848684265E-6i
1867.1810912919207                                0.9605274903915572+4.70556432666673E-6i
2359.8334667821937                                0.9605276804310866+4.179904065297829E-6i
2982.471286216894                                 0.960527813631285+3.845077030400381E-6i
3769.3909753883636                                0.960527905055691+3.6972869562362937E-6i
4763.938010401341                                 0.9605279667074906+3.7381665937367513E-6i
6020.894493336138                                 0.9605280077656683+3.97619588270257E-6i
7609.496685459883                                 0.9605280350137564+4.42828760079688E-6i
9617.248711152964                                 0.9605280533524572+5.121574395366128E-6i
12154.742500762884                                0.9605280663140489+6.0955067844171785E-6i
15361.749466718296                                0.9605280765358066+7.404423790443026E-6i
19414.919457438817                                0.9605280861868115+9.120792362209893E-6i
24537.51106639822                                 0.9605280973738878+1.1339343513033995E-5i
31011.689265747817                                0.9605281125753237+1.4182370106991162E-5i
39194.06774847221                                 0.960528135178017+1.7806502622395678E-5i
49535.352089591805                                0.9605281702270697+2.2411349620187784E-5i
62605.16572014828                                 0.9605282255489597+2.825048289295806E-5i
79123.42618981327                                 0.960528313498336+3.56453661989097E-5i
100000                                            0.9605284537154868+4.50029747895634E-5i
