% Model:              two_particles_2d.mph
% Version:            COMSOL 6.2.0.415
% Date:               Jan 25 2025, 12:16
% Table:              Table 1 - Linienintegration 1
% w                                               (-D*F*u21y+D*F*u22y-F*mu*(c0+u21)*u23y-F*mu*(c0+u22)*u23y)/(sigma0*E0*2*L) (1)
0.1                                               0.9598766534646805+3.577516699972138E-7i
0.1263848202934298                                0.9598766541192074+4.5214123978366257E-7i
0.15973122800602543                               0.959876655164702+5.71432714468323E-7i
0.2018760254679039                                0.9598766568347394+7.221937546255717E-7i
0.25514065200312885                               0.9598766595020889+9.127221742303463E-7i
0.32245905452963947                               0.9598766637624534+1.153499676844881E-6i
0.4075392965871777                                0.9598766705669614+1.4577624974663052E-6i
0.5150678076168125                                0.9598766814342091+1.842216933547485E-6i
0.6509675230458171                                0.9598766987882391+2.327932233856358E-6i
0.822724134170047                                 0.959876726497122+2.941446025050238E-6i
1.03979841848149                                  0.9598767707287266+3.7161150256558467E-6i
1.3141473626117568                                0.9598768413090728+4.693728964597089E-6i
1.6608827826277157                                0.9598769538661704+5.926363683740032E-6i
2.0991037201085545                                0.9598771331925985+7.478351055165252E-6i
2.6529484644318972                                0.9598774184591701+9.42803232967078E-6i
3.3529241492495583                                0.9598778711486733+1.186853478166096E-5i
4.237587160604064                                 0.9598785867544418+1.4905995472845537E-5i
5.355666917706899                                 0.9598797111028146+1.865220435078294E-5i
6.768750009458534                                 0.9598814608612081+2.32063511981274E-5i
8.554672535565684                                 0.9598841438342031+2.8617792229131185E-5i
10.811807510766078                                0.9598881656791957+3.482084518682822E-5i
13.664483492953257                                0.9598939946950195+4.15404964818944E-5i
17.26983290659436                                 0.9599020436114476+4.819677242457273E-5i
21.826447283974872                                0.9599124471339887+5.388946567913254E-5i
27.58531617629184                                 0.9599248081084016+5.757939674546803E-5i
34.863652276780876                                0.9599381189222763+5.84883832654705E-5i
44.06236427773573                                 0.9599510425131895+5.6497626972866356E-5i
55.68813990945273                                 0.9599624340759725+5.220954777887382E-5i
70.38135554931561                                 0.9599717198425911+4.661113654403853E-5i
88.95134973108236                                 0.9599789045902254+4.06345900041515E-5i
112.42100350620873                                0.9599843292040944+3.490897891402931E-5i
142.08308325339223                                0.9599884176168378+2.9746042266056475E-5i
179.5714494371641                                 0.9599915372051249+2.5241478776933658E-5i
226.9510536694671                                 0.9599939629830071+2.1377895651509097E-5i
286.83168133420116                                0.9599958874106951+1.808859074686029E-5i
362.51170499885353                                0.9599974382380986+1.5292233833986508E-5i
458.1597669054491                                 0.9599986967523796+1.2912843474567528E-5i
579.0443980602489                                 0.959999715365181+1.0888765197380704E-5i
731.8242219076182                                 0.9600005310152417+9.173474864393541E-6i
924.9147277217335                                 0.9600011732813016+7.732832617612858E-6i
1168.9518164985777                                0.9600016685563728+6.5416715613351015E-6i
1477.3776525985127                                0.9600020416614536+5.580883760911251E-6i
1867.1810912919207                                0.9600023159519937+4.835507905406826E-6i
2359.8334667821937                                0.960002512757836+4.293920559676436E-6i
2982.471286216894                                 0.9600026507355401+3.94797140799328E-6i
3769.3909753883636                                0.9600027454568024+3.793794653438597E-6i
4763.938010401341                                 0.9600028093392813+3.83303677347594E-6i
6020.894493336138                                 0.9600028518839822+4.074321913966044E-6i
7609.496685459883                                 0.9600028801146834+4.53488602506203E-6i
9617.248711152964                                 0.9600028991060526+5.242413060340418E-6i
12154.742500762884                                0.9600029125142403+6.237186000897445E-6i
15361.749466718296                                0.9600029230663398+7.574718202267528E-6i
19414.919457438817                                0.960002933000916+9.329066910803798E-6i
24537.51106639822                                 0.9600029444861905+1.1597062471702484E-5i
31011.689265747817                                0.9600029600662606+1.4503724831528592E-5i
39194.06774847221                                 0.9600029832123372+1.820919112656029E-5i
49535.352089591805                                0.9600030190905999+2.2917549929577595E-5i
62605.16572014828                                 0.9600030757128515+2.8888073068669288E-5i
79123.42618981327                                 0.96000316572406+3.644945756032333E-5i
100000                                            0.9600033092248943+4.601784143216291E-5i
