% Model:              two_particles_2d.mph
% Version:            COMSOL 6.2.0.415
% Date:               Dec 13 2024, 18:32
% Table:              Table 2 - Linienintegration 1
% w                                               (-D*F*u21y+D*F*u22y-F*mu*(c0+u21)*u23y-F*mu*(c0+u22)*u23y)/(sigma0*E0*2*L) (1)
0.1                                               0.9597382907327208+5.248085705236392E-7i
0.1263848202934298                                0.9597382932005696+6.632508341430639E-7i
0.15973122800602543                               0.9597382971418459+8.381928023847097E-7i
0.2018760254679039                                0.9597383034358088+1.0592363215965256E-6i
0.25514065200312885                               0.9597383134855519+1.3384876596634117E-6i
0.32245905452963947                               0.9597383295285296+1.6911888819026604E-6i
0.4075392965871777                                0.9597383551296872+2.1364861629798958E-6i
0.5150678076168125                                0.9597383959611137+2.698341617479004E-6i
0.6509675230458171                                0.959738461025367+3.406568332774631E-6i
0.822724134170047                                 0.959738564559069+4.2979081474942615E-6i
1.03979841848149                                  0.9597387289477272+5.41694875268306E-6i
1.3141473626117568                                0.9597389890814702+6.816443014655549E-6i
1.6608827826277157                                0.9597393986220621+8.556181877890133E-6i
2.0991037201085545                                0.9597400384979671+1.069890718659991E-5i
2.6529484644318972                                0.959741027314645+1.330078764962648E-5i
3.3529241492495583                                0.959742531744701+1.6392788022651606E-5i
4.237587160604064                                 0.9597447712655875+1.9948422036603394E-5i
5.355666917706899                                 0.9597480043966355+2.383551193017475E-5i
6.768750009458534                                 0.9597524746317165+2.7761627453920138E-5i
8.554672535565684                                 0.9597582980391123+3.125135350264446E-5i
10.811807510766078                                0.9597653180096016+3.372094999007483E-5i
13.664483492953257                                0.9597730308308512+3.4682436055592E-5i
17.26983290659436                                 0.9597807010854403+3.3981793518042065E-5i
21.826447283974872                                0.9597876407891689+3.1880964963143814E-5i
27.58531617629184                                 0.9597934523674132+2.890630706611802E-5i
34.863652276780876                                0.9597980748498405+2.5599691439542073E-5i
44.06236427773573                                 0.9598016668570978+2.235212632176119E-5i
55.68813990945273                                 0.9598044590400797+1.9372673638691466E-5i
70.38135554931561                                 0.9598066621405992+1.67372281831758E-5i
88.95134973108236                                 0.9598084374958175+1.44484142470872E-5i
112.42100350620873                                0.9598098994095623+1.2475465116255953E-5i
142.08308325339223                                0.9598111248083923+1.0775907304069938E-5i
179.5714494371641                                 0.9598121632343931+9.307814782494802E-6i
226.9510536694671                                 0.9598130465145907+8.03580656411868E-6i
286.83168133420116                                0.9598137964060575+6.932282041653247E-6i
362.51170499885353                                0.9598144293802203+5.97639412437888E-6i
458.1597669054491                                 0.959814959229945+5.152515224611489E-6i
579.0443980602489                                 0.9598153983153057+4.4488609917703455E-6i
731.8242219076182                                 0.9598157580160385+3.856514430115876E-6i
924.9147277217335                                 0.9598160488052394+3.3688936590354805E-6i
1168.9518164985777                                0.959816280215363+2.981584387716975E-6i
1477.3776525985127                                0.9598164608226356+2.6924162457868362E-6i
1867.1810912919207                                0.9598165982760986+2.501689793481327E-6i
2359.8334667821937                                0.9598166993438979+2.412516908963111E-6i
2982.471286216894                                 0.9598167699460902+2.431290042063372E-6i
3769.3909753883636                                0.9598168151603605+2.568329159714256E-6i
4763.938010401341                                 0.9598168392137688+2.8387649813354926E-6i
6020.894493336138                                 0.9598168454855539+3.2637145572658468E-6i
7609.496685459883                                 0.9598168365473955+3.871800833764246E-6i
9617.248711152964                                 0.9598168142538832+4.701074752674427E-6i
12154.742500762884                                0.9598167798909568+5.801419263749526E-6i
15361.749466718296                                0.959816734376174+7.237547660846247E-6i
19414.919457438817                                0.9598166785122273+9.09275211322725E-6i
24537.51106639822                                 0.9598166133012423+1.1473609772974901E-5i
31011.689265747817                                0.959816540345865+1.4515918444642853E-5i
39194.06774847221                                 0.9598164623998235+1.8392210540199027E-5i
49535.352089591805                                0.9598163841860835+2.332128176478347E-5i
62605.16572014828                                 0.9598163136870234+2.9580261603418654E-5i
79123.42618981327                                 0.9598162642162622+3.751984999392151E-5i
100000                                            0.9598162577092975+4.758347719770978E-5i
