% Model:              two_particles_2d.mph
% Version:            COMSOL 6.2.0.415
% Date:               Jul 1 2025, 10:31
% Table:              Table 1 - Linienintegration 1
% w                                               (-D*F*u21y+D*F*u22y-F*mu*(c0+u21)*u23y-F*mu*(c0+u22)*u23y)/(sigma0*E0*2*L) (1)
0.1                                               0.9746234898004028+1.8325727853747004E-8i
0.1263848202934298                                0.9746234899861507+2.3155053908256848E-8i
0.15973122800602543                               0.9746234902762785+2.9252615141703084E-8i
0.2018760254679039                                0.974623490743664+3.6946995803316E-8i
0.25514065200312885                               0.9746234914843674+4.664742741099244E-8i
0.32245905452963947                               0.9746234926630359+5.885913476048514E-8i
0.4075392965871777                                0.9746234945325821+7.419715638329728E-8i
0.5150678076168125                                0.9746234974814567+9.339354168870894E-8i
0.6509675230458171                                0.9746235020985429+1.1728850155346312E-7i
0.822724134170047                                 0.9746235092643089+1.4679051464644937E-7i
1.03979841848149                                  0.9746235202093998+1.827861755440965E-7i
1.3141473626117568                                0.9746235366043612+2.2598382080435927E-7i
1.6608827826277157                                0.9746235605321288+2.7669134923037586E-7i
2.0991037201085545                                0.974623594357339+3.3455485536440477E-7i
2.6529484644318972                                0.9746236404544878+3.9831764668709134E-7i
3.3529241492495583                                0.9746237006681411+4.6573371579085413E-7i
4.237587160604064                                 0.974623775708904+5.338704304119183E-7i
5.355666917706899                                 0.9746238648740907+5.998854151648689E-7i
6.768750009458534                                 0.9746239664219163+6.618312500393292E-7i
8.554672535565684                                 0.9746240783971225+7.188696613912819E-7i
10.811807510766078                                0.9746241991872082+7.70921552527152E-7i
13.664483492953257                                0.9746243277362112+8.181703287567373E-7i
17.26983290659436                                 0.974624463342852+8.605882828140425E-7i
21.826447283974872                                0.9746246051571406+8.977689909862133E-7i
27.58531617629184                                 0.9746247517591035+9.293918795915202E-7i
34.863652276780876                                0.9746249014186289+9.5585657485673E-7i
44.06236427773573                                 0.9746250528274321+9.78311877266276E-7i
55.68813990945273                                 0.9746252054466724+9.981439115539644E-7i
70.38135554931561                                 0.9746253593678519+1.0165105625256959E-6i
88.95134973108236                                 0.9746255150845967+1.0341273763197829E-6i
112.42100350620873                                0.9746256731990723+1.0511969007089536E-6i
142.08308325339223                                0.9746258341651841+1.0674518591043406E-6i
179.5714494371641                                 0.9746259981172786+1.0823191940899305E-6i
226.9510536694671                                 0.9746261647516925+1.095138022084243E-6i
286.83168133420116                                0.9746263333926645+1.1053511858091738E-6i
362.51170499885353                                0.9746265030428178+1.1126383190492352E-6i
458.1597669054491                                 0.974626672469432+1.1170032577338237E-6i
579.0443980602489                                 0.9746268402628049+1.1188418472909552E-6i
731.8242219076182                                 0.9746270049007051+1.1190087549163196E-6i
924.9147277217335                                 0.9746271647649646+1.1188942014228615E-6i
1168.9518164985777                                0.974627318201619+1.1205203948889884E-6i
1477.3776525985127                                0.9746274635233779+1.1266651579096764E-6i
1867.1810912919207                                0.9746275990748926+1.1410189216605596E-6i
2359.8334667821937                                0.9746277232490574+1.168379710541055E-6i
2982.471286216894                                 0.9746278345424564+1.2148922044284658E-6i
3769.3909753883636                                0.9746279316005744+1.2883410690234057E-6i
4763.938010401341                                 0.9746280132789612+1.3985117182719448E-6i
6020.894493336138                                 0.974628078670517+1.5576389763902154E-6i
7609.496685459883                                 0.9746281271530759+1.7809715735749641E-6i
9617.248711152964                                 0.9746281583970748+2.0874897264255834E-6i
12154.742500762884                                0.9746281723993986+2.500826820154399E-6i
15361.749466718296                                0.9746281694426737+3.050457364857246E-6i
19414.919457438817                                0.9746281500994302+3.7732321138255963E-6i
24537.51106639822                                 0.9746281152096683+4.7153545688135075E-6i
31011.689265747817                                0.9746280659843302+5.934913974968116E-6i
39194.06774847221                                 0.9746280040527805+7.505113956806029E-6i
49535.352089591805                                0.9746279317803258+9.51836285083093E-6i
62605.16572014828                                 0.9746278527434763+1.2091433234558959E-5i
79123.42618981327                                 0.9746277725547373+1.5371953394622173E-5i
100000                                            0.9746277001873896+1.9546555963967428E-5i
