% Model:              two_particles_2d.mph
% Version:            COMSOL 6.2.0.415
% Date:               Jun 26 2025, 11:59
% Table:              Table 1 - Linienintegration 1
% w                                               (-D*F*u21y+D*F*u22y-F*mu*(c0+u21)*u23y-F*mu*(c0+u22)*u23y)/(sigma0*E0*2*L) (1)
0.1                                               0.9681054276325014+2.2674049673942858E-7i
0.1263848202934298                                0.9681054280521957+2.8656392118121706E-7i
0.15973122800602543                               0.9681054287225656+3.621699695635554E-7i
0.2018760254679039                                0.9681054297934429+4.577211486472513E-7i
0.25514065200312885                               0.9681054315037435+5.784764922421508E-7i
0.32245905452963947                               0.9681054342355931+7.310791048139065E-7i
0.4075392965871777                                0.9681054385986925+9.239177640293171E-7i
0.5150678076168125                                0.9681054455669372+1.1675802889954402E-6i
0.6509675230458171                                0.9681054566945099+1.4754191806249147E-6i
0.822724134170047                                 0.9681054744617564+1.8642516994786917E-6i
1.03979841848149                                  0.9681055028235622+2.3552148605295917E-6i
1.3141473626117568                                0.9681055480802331+2.9747861533482503E-6i
1.6608827826277157                                0.9681056202526429+3.755953668860877E-6i
2.0991037201085545                                0.9681057352373644+4.739455881166136E-6i
2.6529484644318972                                0.9681059181497521+5.974875483363465E-6i
3.3529241492495583                                0.9681062084095247+7.521097107537485E-6i
4.237587160604064                                 0.9681066672385839+9.445113984945042E-6i
5.355666917706899                                 0.9681073881183081+1.1817235324895008E-5i
6.768750009458534                                 0.9681085099179306+1.4699275447182293E-5i
8.554672535565684                                 0.9681102298552577+1.8120525749274973E-5i
10.811807510766078                                0.968112807678161+2.2035727021304122E-5i
13.664483492953257                                0.9681165428063383+2.6264323938678654E-5i
17.26983290659436                                 0.9681216979559669+3.0428860048152197E-5i
21.826447283974872                                0.9681283554632848+3.394512686928242E-5i
27.58531617629184                                 0.9681362530406572+3.613905198813925E-5i
34.863652276780876                                0.9681447319856068+3.6505112626547645E-5i
44.06236427773573                                 0.9681529171638044+3.496506562510754E-5i
55.68813990945273                                 0.9681600535352856+3.1911293767858394E-5i
70.38135554931561                                 0.9681657535109687+2.7993600884975127E-5i
88.95134973108236                                 0.9681700082853101+2.3837373067345993E-5i
112.42100350620873                                0.9681730389414118+1.987943981334763E-5i
142.08308325339223                                0.9681751362004275+1.6349379965079967E-5i
179.5714494371641                                 0.9681765649764312+1.3325714555326384E-5i
226.9510536694671                                 0.9681775316167763+1.0800725137337797E-5i
286.83168133420116                                0.96817818466109+8.726549849476044E-6i
362.51170499885353                                0.9681786264732156+7.041797422389771E-6i
458.1597669054491                                 0.9681789258624578+5.685326661978324E-6i
579.0443980602489                                 0.9681791286926632+4.6024225207950104E-6i
731.8242219076182                                 0.9681792656943659+3.746722596767412E-6i
924.9147277217335                                 0.968179357700963+3.0801630503869257E-6i
1168.9518164985777                                0.9681794190016797+2.572236993333032E-6i
1477.3776525985127                                0.9681794594708026+2.1991467549419813E-6i
1867.1810912919207                                0.968179485938872+1.9430742718478216E-6i
2359.8334667821937                                0.9681795031063197+1.7916371796598E-6i
2982.471286216894                                 0.9681795141770971+1.7375387798685688E-6i
3769.3909753883636                                0.9681795213112523+1.778409343226695E-6i
4763.938010401341                                 0.9681795259544803+1.916844109154502E-6i
6020.894493336138                                 0.968179529076612+2.1606564828238355E-6i
7609.496685459883                                 0.9681795313455622+2.5233763751173634E-6i
9617.248711152964                                 0.968179533255702+3.025035441561614E-6i
12154.742500762884                                0.9681795352283992+3.693292785506656E-6i
15361.749466718296                                0.9681795377020799+4.564970545264183E-6i
19414.919457438817                                0.9681795412284512+5.688088212303965E-6i
24537.51106639822                                 0.9681795465949405+7.124510158038715E-6i
31011.689265747817                                0.9681795549999198+8.953353441143662E-6i
39194.06774847221                                 0.9681795683206221+1.1275343343268616E-5i
49535.352089591805                                0.9681795895323848+1.4218355402764759E-5i
62605.16572014828                                 0.9681796233726753+1.7944446103693E-5i
79123.42618981327                                 0.9681796773991592+2.265875268446855E-5i
100000                                            0.9681797636769868+2.862073857110989E-5i
