% Model:              two_particles_2d.mph
% Version:            COMSOL 6.4.0.293
% Date:               Apr 21 2026, 17:39
% Table:              Table 1 - Linienintegration 1
% w                                               (-D*F*u21y+D*F*u22y-F*mu*(c0+u21)*u23y-F*mu*(c0+u22)*u23y)/(sigma0*E0*2*L) (1)
0.1                                               0.9747419527728552+1.377078256997365E-8i
0.12631335639768382                               0.974741952889807+1.7391657632966408E-8i
0.1595506400444829                                0.9747419530752928+2.1962588508238533E-8i
0.20153376859417332                               0.9747419533703153+2.773081468812321E-8i
0.2545640673860415                                0.9747419538417166+3.500585462104644E-8i
0.3215484176977706                                0.9747419545913987+4.417310848673288E-8i
0.40615859883769795                               0.9747419557834149+5.570829231776842E-8i
0.5130325584897003                                0.9747419576734336+7.019029906107844E-8i
0.6480286440412508                                0.9747419606623964+8.830715665679329E-8i
0.8185467307069029                                0.9747419653646878+1.1084444461554465E-7i
1.0339338492393995                                0.9747419727006228+1.386370204196049E-7i
1.3059965479060534                                0.9747419840012824+1.724541004993488E-7i
1.6496480740980206                                0.9747420010844502+2.1278212499563737E-7i
2.08372585114296                                  0.9747420262059288+2.5949170774569324E-7i
2.6320240607048775                                0.9747420617571887+3.1146290584555007E-7i
3.3245979322709416                                0.9747421096313061+3.6640696429902466E-7i
4.199411234979421                                 0.9747421704463296+4.212217956601532E-7i
5.304417279843932                                 0.9747422431779007+4.7294451543565474E-7i
6.70018750350959                                  0.974742325654968+5.197341353062907E-7i
8.463231720621142                                 0.9747424155844361+5.611348763822191E-7i
10.690192046030011                                0.9747425113171495+5.975786428428755E-7i
13.503140378698735                                0.9747426120180663+6.296523158568302E-7i
17.056269831425286                                0.9747427173339059+6.575132718560023E-7i
21.544346900318846                                0.9747428267398465+6.807681583171139E-7i
27.213387683753087                                0.9747429390705089+6.989948605943898E-7i
34.37414337286243                                 0.9747430527921518+7.123988002242368E-7i
43.41913422721453                                 0.974743166660069+7.218870971976121E-7i
54.844165761210206                                0.9747432800813454+7.286224504655297E-7i
69.27550656129392                                 0.9747433930237266+7.336017911391829E-7i
87.50421749906803                                 0.9747435057974558+7.374575876284846E-7i
110.52951411260221                                0.9747436188164837+7.403828003320628E-7i
139.61353908567946                                0.9747437323623153+7.42159301312696E-7i
176.35054720471388                                0.9747438463757248+7.423160808634147E-7i
222.75429519995586                                0.9747439603845909+7.403619334527264E-7i
281.3684267870689                                 0.9747440735445995+7.360004286652598E-7i
355.40590371810646                                0.9747441847495282+7.292750898803556E-7i
448.9251258218608                                 0.9747442927555435+7.206485613788399E-7i
567.0523941381175                                 0.9747443962700412+7.11046658220761E-7i
716.262911569279                                  0.974744494037328+7.018916213652814E-7i
904.7357242349302                                 0.9747445848956983+6.951370042362738E-7i
1142.8020598100331                                0.9747446678128675+6.933140917310697E-7i
1443.5116387279174                                0.9747447419173954+6.995998219648544E-7i
1823.3480008684423                                0.9747448065099339+7.17915418983363E-7i
2303.132058707001                                 0.9747448610625608+7.530649191190416E-7i
2909.163405623883                                 0.9747449052093329+8.109251691377777E-7i
3674.661940736688                                 0.9747449387334473+8.987013406515297E-7i
4641.588833612782                                 0.9747449615339732+1.0252655295709573E-6i
5862.946645916414                                 0.9747449735988793+1.2016017057709628E-6i
7405.684692262442                                 0.9747449749719673+1.4413843318049264E-6i
9354.368899026163                                 0.974744965721013+1.7617236922035623E-6i
11815.81732618102                                 0.9747449459167024+2.1841176124039097E-6i
14924.95545051832                                 0.9747449156314688+2.7356605513237386E-6i
18852.212170408722                                0.9747448749533489+3.4505714359704608E-6i
23812.86194765587                                 0.9747448240621842+4.372119453912067E-6i
30078.82518043102                                 0.9747447633196752+5.5550480665556865E-6i
37993.57365039414                                 0.974744693483437+7.068624060873734E-6i
47990.95809323878                                 0.974744615992833+9.000474337859762E-6i
60618.989934975725                                0.9747445334742337+1.1461415682098647E-5i
76569.88080124203                                 0.9747444505111142+1.4591531823356698E-5i
96717.98642975463                                 0.9747443748658368+1.8567813076405632E-5i
