% Model:              modelG_beltrami_2_particles.mph
% Version:            COMSOL 6.4.0.293
% Date:               Apr 2 2026, 15:57
% Table:              Tabelle 1 - sigma_eff
% w                                               Normalized effective conductivity
0.1                                               0.9981953300799944+8.3805189742535E-9i
0.1263848202934298                                0.9981953300877323+1.0591688622635149E-8i
0.15973122800602543                               0.9981953301000901+1.338625589951091E-8i
0.2018760254679039                                0.9981953301199136+1.691813344185431E-8i
0.25514065200312885                               0.9981953301514846+2.1381827289110987E-8i
0.32245905452963947                               0.9981953302019513+2.7023131138607262E-8i
0.4075392965871777                                0.9981953302825565+3.4152625355367106E-8i
0.5150678076168125                                0.9981953304113188+4.3162703826018386E-8i
0.6509675230458171                                0.9981953306169744+5.454902590245627E-8i
0.822724134170047                                 0.9981953309454609+6.893749004983786E-8i
1.03979841848149                                  0.9981953314700446+8.711804904009362E-8i
1.3141473626117568                                0.9981953323077567+1.100868871460071E-7i
1.6608827826277157                                0.9981953336452919+1.390986026883652E-7i
2.0991037201085545                                0.9981953357804184+1.7572989289490654E-7i
2.6529484644318972                                0.9981953391873135+2.2195549613112737E-7i
3.3529241492495583                                0.9981953446202374+2.802350617978282E-7i
4.237587160604064                                 0.9981953532755478+3.536047853489612E-7i
5.355666917706899                                 0.9981953670428914+4.4575731165466174E-7i
6.768750009458534                                 0.9981953888873709+5.610725715175591E-7i
8.554672535565684                                 0.9981954234112953+7.045224764984449E-7i
10.811807510766078                                0.9981954776361458+8.813020152862125E-7i
13.664483492953257                                0.9981955619777687+1.095929072608613E-6i
17.26983290659436                                 0.9981956911941636+1.3504243170693451E-6i
21.826447283974872                                0.9981958846460823+1.6411480134213036E-6i
27.58531617629184                                 0.998196164490498+1.954272736057104E-6i
34.863652276780876                                0.9981965498461951+2.2612944085893536E-6i
44.06236427773573                                 0.9981970460195638+2.5185764991958144E-6i
55.68813990945273                                 0.9981976324986762+2.676434192296944E-6i
70.38135554931561                                 0.9981982597128417+2.698475143451287E-6i
88.95134973108236                                 0.9981988629989185+2.580303796093734E-6i
112.42100350620873                                0.9981993874876209+2.35185811862058E-6i
142.08308325339223                                0.9981998056687715+2.0611856635492996E-6i
179.5714494371641                                 0.9982001175412192+1.753928854978595E-6i
226.9510536694671                                 0.9982003395242616+1.4617977392284968E-6i
286.83168133420116                                0.9982004929588972+1.2014739257760107E-6i
362.51170499885353                                0.9982005973268414+9.78654314497736E-7i
458.1597669054491                                 0.9982006678282187+7.926766824037671E-7i
579.0443980602489                                 0.9982007153574551+6.399221849165171E-7i
731.8242219076182                                 0.9982007473770983+5.158358465557641E-7i
924.9147277217335                                 0.9982007689042898+4.159366056799323E-7i
1168.9518164985777                                0.9982007833097329+3.362305408542111E-7i
1477.3776525985127                                0.9982007928785113+2.733251398725832E-7i
1867.1810912919207                                0.998200799176292+2.2441740390447843E-7i
2359.8334667821937                                0.9982008032816214+1.8724256982448263E-7i
2982.471286216894                                 0.9982008059348875+1.6002057788845633E-7i
3769.3909753883636                                0.9982008076388188+1.414114002369224E-7i
4763.938010401341                                 0.9982008087295094+1.304811390773584E-7i
6020.894493336138                                 0.998200809428891+1.2667825669367694E-7i
7609.496685459883                                 0.9982008098823947+1.2982080736348568E-7i
9617.248711152964                                 0.998200810185718+1.4009683657801288E-7i
12154.742500762884                                0.9982008104037464+1.5808046790024083E-7i
15361.749466718296                                0.998200810583978+1.8476662583065474E-7i
19414.919457438817                                0.9982008107659381+2.2162753654945824E-7i
24537.51106639822                                 0.9982008109899891+2.7069474766638534E-7i
31011.689265747817                                0.9982008113060603+3.346713880754151E-7i
39194.06774847221                                 0.99820081178466+4.170813823905244E-7i
49535.352089591805                                0.9982008125326435+5.224633714748599E-7i
62605.16572014828                                 0.9982008137171621+6.566203961558884E-7i
79123.42618981327                                 0.9982008156026745+8.269387068600021E-7i
100000                                            0.9982008186102875+1.0427927774102574E-6i
