% Model:              two_particles_2d.mph
% Version:            COMSOL 6.2.0.415
% Date:               Jun 18 2025, 13:55
% Table:              Table 1 - Linienintegration 1
% w                                               (-D*F*u21y+D*F*u22y-F*mu*(c0+u21)*u23y-F*mu*(c0+u22)*u23y)/(sigma0*E0*2*L) (1)
0.1                                               0.974599212884425+1.9909498862533124E-7i
0.1263848202934298                                0.9745992137963959+2.5161670645027264E-7i
0.15973122800602543                               0.9745992152531376+3.179868775012482E-7i
0.2018760254679039                                0.9745992175793387+4.0184991518414663E-7i
0.25514065200312885                               0.974599221294108+5.078021648514206E-7i
0.32245905452963947                               0.9745992272254026+6.416332587669712E-7i
0.4075392965871777                                0.9745992366927629+8.106212634465519E-7i
0.5150678076168125                                0.9745992517991156+1.023885732163409E-6i
0.6509675230458171                                0.974599275887502+1.2927941533453199E-6i
0.822724134170047                                 0.9745993142592548+1.6313965050187312E-6i
1.03979841848149                                  0.9745993752860438+2.0568186342409766E-6i
1.3141473626117568                                0.9745994720982155+2.5894569487107907E-6i
1.6608827826277157                                0.9745996250725693+3.252649895099053E-6i
2.0991037201085545                                0.9745998653071641+4.071208210138225E-6i
2.6529484644318972                                0.9746002390301078+5.067723499983925E-6i
3.3529241492495583                                0.9746008121431037+6.2549895591776255E-6i
4.237587160604064                                 0.9746016723648674+7.622548929386657E-6i
5.355666917706899                                 0.9746029233397794+9.116592847289866E-6i
6.768750009458534                                 0.9746046617871719+1.0617831076891996E-5i
8.554672535565684                                 0.9746069311569386+1.1933381477224032E-5i
10.811807510766078                                0.9746096632909375+1.282880017253294E-5i
13.664483492953257                                0.9746126504511416+1.3111682640453525E-5i
17.26983290659436                                 0.9746155945297454+1.2726784069643804E-5i
21.826447283974872                                0.9746182204686046+1.1786164546111224E-5i
27.58531617629184                                 0.9746203723203636+1.0505853209040645E-5i
34.863652276780876                                0.9746220294072733+9.105953800737618E-6i
44.06236427773573                                 0.9746232586468231+7.745390036394212E-6i
55.68813990945273                                 0.9746241561388069+6.510089840501991E-6i
70.38135554931561                                 0.9746248107106655+5.431990064610255E-6i
88.95134973108236                                 0.9746252915957203+4.51264034310637E-6i
112.42100350620873                                0.9746256489540983+3.739470804350596E-6i
142.08308325339223                                0.9746259178446365+3.0947254186751343E-6i
179.5714494371641                                 0.9746261222956129+2.5601939109340116E-6i
226.9510536694671                                 0.9746262788956687+2.119445190458693E-6i
286.83168133420116                                0.9746263995055495+1.7584232952971636E-6i
362.51170499885353                                0.9746264929495767+1.4652743302453823E-6i
458.1597669054491                                 0.9746265659418166+1.2300145173727791E-6i
579.0443980602489                                 0.974626623579101+1.0442833708848637E-6i
731.8242219076182                                 0.9746266696356823+9.012281602729711E-7i
924.9147277217335                                 0.9746267067948975+7.954866334530938E-7i
1168.9518164985777                                0.974626736874287+7.23213616971145E-7i
1477.3776525985127                                0.9746267610461736+6.821148247250679E-7i
1867.1810912919207                                0.9746267800343549+6.714804863817058E-7i
2359.8334667821937                                0.9746267942730079+6.922334317531832E-7i
2982.471286216894                                 0.9746268040192322+7.47018249551185E-7i
3769.3909753883636                                0.9746268094266688+8.403586841511611E-7i
4763.938010401341                                 0.9746268105896193+9.789080550116824E-7i
6020.894493336138                                 0.974626807567867+1.1718151642210727E-6i
7609.496685459883                                 0.9746268004018146+1.431230251949952E-6i
9617.248711152964                                 0.9746267891248939+1.7729804201026497E-6i
12154.742500762884                                0.9746267737788583+2.2174517380813194E-6i
15361.749466718296                                0.9746267544393614+2.7907261713576876E-6i
19414.919457438817                                0.9746267312595402+3.526034622868261E-6i
24537.51106639822                                 0.9746267045428781+4.465604485240385E-6i
31011.689265747817                                0.9746266748604663+5.6630018239562004E-6i
39194.06774847221                                 0.9746266432412992+7.1860946017064025E-6i
49535.352089591805                                0.9746266114738218+9.120796099982597E-6i
62605.16572014828                                 0.9746265825835325+1.1575789678572707E-5i
79123.42618981327                                 0.9746265615879135+1.4688486680734054E-5i
100000                                            0.974626556689432+1.863253190333077E-5i
