% Model:              two_particles_2d.mph
% Version:            COMSOL 6.2.0.415
% Date:               Jan 22 2025, 13:33
% Table:              Table 2 - Linienintegration 1
% w                                               (-D*F*u21y+D*F*u22y-F*mu*(c0+u21)*u23y-F*mu*(c0+u22)*u23y)/(sigma0*E0*2*L) (1)
0.1                                               0.9721847097566679+2.3511767059414189E-7i
0.1263848202934298                                0.9721847108357424+2.971422918586564E-7i
0.15973122800602543                               0.9721847125595127+3.755210448002521E-7i
0.2018760254679039                                0.9721847153120625+4.7455778535537394E-7i
0.25514065200312885                               0.9721847197078437+5.996805860513681E-7i
0.32245905452963947                               0.972184726726142+7.577268233214151E-7i
0.4075392965871777                                0.9721847379291442+9.57291810692034E-7i
0.5150678076168125                                0.9721847558048786+1.2091459504262545E-6i
0.6509675230458171                                0.9721847843100807+1.5267151046144626E-6i
0.822724134170047                                 0.9721848297196182+1.926594476174088E-6i
1.03979841848149                                  0.9721849019439818+2.4290144105938217E-6i
1.3141473626117568                                0.9721850165312185+3.0580721910335082E-6i
1.6608827826277157                                0.9721851976190574+3.84134616099775E-6i
2.0991037201085545                                0.9721854820666636+4.8081598637971645E-6i
2.6529484644318972                                0.9721859247100305+5.9852120905359935E-6i
3.3529241492495583                                0.9721866038070984+7.38758551247296E-6i
4.237587160604064                                 0.9721876236842528+9.002743341628485E-6i
5.355666917706899                                 0.972189107889835+1.0766527591799521E-5i
6.768750009458534                                 0.9721911721796679+1.2536516815007744E-5i
8.554672535565684                                 0.9721938692821656+1.4081715446470303E-5i
10.811807510766078                                0.9721971185895139+1.5119906618346256E-5i
13.664483492953257                                0.9722006709901715+1.5417301193687956E-5i
17.26983290659436                                 0.9722041657908839+1.4903911121932454E-5i
21.826447283974872                                0.9722072663967616+1.371282264966944E-5i
27.58531617629184                                 0.9722097779726352+1.2106854781490837E-5i
34.863652276780876                                0.9722116706141407+1.0358860365364586E-5i
44.06236427773573                                 0.9722130252109037+8.670966735424499E-6i
55.68813990945273                                 0.9722139641525468+7.156310018711367E-6i
70.38135554931561                                 0.9722146053040694+5.8581280435639775E-6i
88.95134973108236                                 0.9722150431083202+4.777134098804215E-6i
112.42100350620873                                0.9722153462067159+3.893009983481946E-6i
142.08308325339223                                0.9722155616345748+3.1776542385602427E-6i
179.5714494371641                                 0.9722157203082515+2.6022812258874894E-6i
226.9510536694671                                 0.9722158418429616+2.1407823253419625E-6i
286.83168133420116                                0.9722159382347145+1.7710335387481693E-6i
362.51170499885353                                0.9722160165075795+1.4751836801643388E-6i
458.1597669054491                                 0.972216080605022+1.2394704533931984E-6i
579.0443980602489                                 0.9722161327632447+1.0537877904940076E-6i
731.8242219076182                                 0.9722161744698147+9.110893041478539E-7i
924.9147277217335                                 0.9722162070207683+8.06726825317445E-7i
1168.9518164985777                                0.9722162317146936+7.37877194467811E-7i
1477.3776525985127                                0.972216249797313+7.031941169449081E-7i
1867.1810912919207                                0.9722162623315468+7.027212166908561E-7i
2359.8334667821937                                0.9722162701036717+7.380106582899737E-7i
2982.471286216894                                 0.972216273606061+8.12369154926584E-7i
3769.3909753883636                                0.9722162730836933+9.311835957370988E-7i
4763.938010401341                                 0.9722162686125833+1.1023137798662472E-6i
6020.894493336138                                 0.9722162601796871+1.336567208167192E-6i
7609.496685459883                                 0.9722162477427286+1.6482954780979107E-6i
9617.248711152964                                 0.9722162312585685+2.056174335886053E-6i
12154.742500762884                                0.9722162106991326+2.5842338000773553E-6i
15361.749466718296                                0.9722161860785836+3.2631986181706596E-6i
19414.919457438817                                0.972216157507986+4.132201318259299E-6i
24537.51106639822                                 0.9722161252871773+5.240954460990191E-6i
31011.689265747817                                0.9722160900459994+6.652500948136707E-6i
39194.06774847221                                 0.9722160529698523+8.446694145476233E-6i
49535.352089591805                                0.9722160161544775+1.072459610393587E-5i
62605.16572014828                                 0.9722159831677196+1.361403031732692E-5i
79123.42618981327                                 0.9722159599396746+1.7276585243866988E-5i
100000                                            0.9722159561707052+2.191643752644096E-5i
