% Model:              two_particles_2d.mph
% Version:            COMSOL 6.2.0.415
% Date:               Jun 19 2025, 13:18
% Table:              Table 1 - Linienintegration 1
% w                                               (-D*F*u21y+D*F*u22y-F*mu*(c0+u21)*u23y-F*mu*(c0+u22)*u23y)/(sigma0*E0*2*L) (1)
0.1                                               0.954304716181355+7.453442749179412E-7i
0.1263848202934298                                0.9543047221451766+9.418591152897546E-7i
0.15973122800602543                               0.9543047316661543+1.1900786563810517E-6i
0.2018760254679039                                0.9543047468591367+1.5034974221493908E-6i
0.25514065200312885                               0.9543047710893395+1.8990209917486153E-6i
0.32245905452963947                               0.9543048096950144+2.3977159267104263E-6i
0.4075392965871777                                0.954304871118749+3.0256094733627447E-6i
0.5150678076168125                                0.9543049686128161+3.8144116397328883E-6i
0.6509675230458171                                0.9543051227929481+4.801877556120747E-6i
0.822724134170047                                 0.9543053652043221+6.031253451458442E-6i
1.03979841848149                                  0.954305742916803+7.5488262866276306E-6i
1.3141473626117568                                0.9543063233846167+9.39811636861141E-6i
1.6608827826277157                                0.9543071972813639+1.1609192363258333E-5i
2.0991037201085545                                0.9543084746291989+1.4183191496492183E-5i
2.6529484644318972                                0.954310268302783+1.7077117980113305E-5i
3.3529241492495583                                0.9543126639547144+2.0201505032881873E-5i
4.237587160604064                                 0.9543156903408302+2.344430007337763E-5i
5.355666917706899                                 0.9543193168711792+2.6715101473365796E-5i
6.768750009458534                                 0.954323488694361+2.997611244254007E-5i
8.554672535565684                                 0.9543281702880564+3.3232271091704386E-5i
10.811807510766078                                0.954333360397267+3.649486106767058E-5i
13.664483492953257                                0.9543390739632167+3.975271008789675E-5i
17.26983290659436                                 0.9543453105153594+4.297041302815882E-5i
21.826447283974872                                0.9543520349254673+4.611476626200558E-5i
27.58531617629184                                 0.9543591911641032+4.918645812388855E-5i
34.863652276780876                                0.9543667358898391+5.222420501376105E-5i
44.06236427773573                                 0.9543746569150034+5.528269310943815E-5i
55.68813990945273                                 0.9543829692298123+5.8412651228890146E-5i
70.38135554931561                                 0.9543917059081997+6.165302122580021E-5i
88.95134973108236                                 0.9544009111913208+6.502807277605333E-5i
112.42100350620873                                0.9544106346845632+6.854709847157846E-5i
142.08308325339223                                0.9544209284351308+7.220591219657524E-5i
179.5714494371641                                 0.9544318468611374+7.598645431110116E-5i
226.9510536694671                                 0.9544434458166139+7.985292783641608E-5i
286.83168133420116                                0.954455777814955+8.374696701426877E-5i
362.51170499885353                                0.9544688840095407+8.758537054617756E-5i
458.1597669054491                                 0.9544827857158154+9.126153833640412E-5i
579.0443980602489                                 0.9544974771666188+9.464948478319207E-5i
731.8242219076182                                 0.9545129195689207+9.760945444832842E-5i
924.9147277217335                                 0.9545290363865989+9.999512091998874E-5i
1168.9518164985777                                0.9545457102982917+1.0166243632344075E-4i
1477.3776525985127                                0.9545627823937115+1.0247988056611925E-4i
1867.1810912919207                                0.9545800540891547+1.0233968019587374E-4i
2359.8334667821937                                0.954597292192056+1.011693975808973E-4i
2982.471286216894                                 0.954614237387236+9.89430629391452E-5i
3769.3909753883636                                0.9546306162231858+9.569079808994407E-5i
4763.938010401341                                 0.954646156179513+9.150572334659272E-5i
6020.894493336138                                 0.9546606030059536+8.654692332080343E-5i
7609.496685459883                                 0.9546737387514445+8.10374899764355E-5i
9617.248711152964                                 0.9546853984287726+7.525724325978898E-5i
12154.742500762884                                0.9546954829323311+6.953066060140064E-5i
15361.749466718296                                0.9547039659166536+6.421169473445088E-5i
19414.919457438817                                0.9547108931665007+5.966825393966305E-5i
24537.51106639822                                 0.9547163742058639+5.626981024872366E-5i
31011.689265747817                                0.9547205675269106+5.43815913123171E-5i
39194.06774847221                                 0.9547236621405031+5.436802687580753E-5i
49535.352089591805                                0.9547258589677435+5.6606773596191215E-5i
62605.16572014828                                 0.954727355493998+6.151318868155023E-5i
79123.42618981327                                 0.9547283364026617+6.957407488873797E-5i
100000                                            0.954728971710315+8.138922575569948E-5i
