% Model:              two_particles_2d.mph
% Version:            COMSOL 6.2.0.415
% Date:               Jan 22 2025, 22:58
% Table:              Table 2 - Linienintegration 1
% w                                               (-D*F*u21y+D*F*u22y-F*mu*(c0+u21)*u23y-F*mu*(c0+u22)*u23y)/(sigma0*E0*2*L) (1)
0.1                                               0.9575622727380603+6.061664650345972E-7i
0.1263848202934298                                0.9575622756118997+7.6606865116644E-7i
0.15973122800602543                               0.9575622802017435+9.681263812141231E-7i
0.2018760254679039                                0.9575622875307979+1.2234273556643432E-6i
0.25514065200312885                               0.9575622992327751+1.5459492202286529E-6i
0.32245905452963947                               0.9575623179116446+1.9532860832221242E-6i
0.4075392965871777                                0.9575623477150054+2.4675305116707623E-6i
0.5150678076168125                                0.9575623952378406+3.1163161364764524E-6i
0.6509675230458171                                0.9575624709382686+3.933992844341598E-6i
0.822724134170047                                 0.9575625913304355+4.962833951200434E-6i
1.03979841848149                                  0.9575627823242153+6.254029434890668E-6i
1.3141473626117568                                0.9575630841691471+7.867950188118685E-6i
1.6608827826277157                                0.9575635584775349+9.87271215323104E-6i
2.0991037201085545                                0.9575642975716769+1.2339371360322474E-5i
2.6529484644318972                                0.9575654356921786+1.533112874421724E-5i
3.3529241492495583                                0.9575671599249698+1.8882769694622165E-5i
4.237587160604064                                 0.9575697149699978+2.2965632145221803E-5i
5.355666917706899                                 0.9575733881806762+2.7435280112231578E-5i
6.768750009458534                                 0.9575784509728948+3.1971723612931906E-5i
8.554672535565684                                 0.9575850359096438+3.60536777361651E-5i
10.811807510766078                                0.957592976676796+3.9039707022408986E-5i
13.664483492953257                                0.957601725453197+4.039254467916665E-5i
17.26983290659436                                 0.957610479798234+3.9941633052957903E-5i
21.826447283974872                                0.9576184907554556+3.797315864565344E-5i
27.58531617629184                                 0.9576253309058069+3.5061279049229445E-5i
34.863652276780876                                0.9576309433083225+3.179123750496203E-5i
44.06236427773573                                 0.9576355078269604+2.8575674906174035E-5i
55.68813990945273                                 0.9576392745469265+2.5624658086918056E-5i
70.38135554931561                                 0.9576424636171352+2.300550473291927E-5i
88.95134973108236                                 0.9576452378296492+2.0710948141255317E-5i
112.42100350620873                                0.9576477084221393+1.8700701746370737E-5i
142.08308325339223                                0.9576499451159387+1.6923336039204462E-5i
179.5714494371641                                 0.957651986288181+1.5330395992510108E-5i
226.9510536694671                                 0.9576538505290503+1.3883964405994234E-5i
286.83168133420116                                0.9576555464020796+1.2557875403696686E-5i
362.51170499885353                                0.9576570785846472+1.1335914676909239E-5i
458.1597669054491                                 0.9576584512545552+1.0209353744765593E-5i
579.0443980602489                                 0.9576596696632592+9.174609581776792E-6i
731.8242219076182                                 0.9576607405026778+8.231434285489223E-6i
924.9147277217335                                 0.9576616716277427+7.381827995571243E-6i
1168.9518164985777                                0.957662471595885+6.629638161627149E-6i
1477.3776525985127                                0.9576631493219933+5.98065501786382E-6i
1867.1810912919207                                0.9576637139573423+5.442969577803643E-6i
2359.8334667821937                                0.9576641749478702+5.027411521105372E-6i
2982.471286216894                                 0.9576645421417903+4.747991565599279E-6i
3769.3909753883636                                0.9576648258080325+4.622394243738636E-6i
4763.938010401341                                 0.9576650364803214+4.672658594732433E-6i
6020.894493336138                                 0.957665184625184+4.926223875259667E-6i
7609.496685459883                                 0.9576652802076865+5.41750646656115E-6i
9617.248711152964                                 0.9576653322625839+6.190134241636633E-6i
12154.742500762884                                0.9576653485837824+7.2999270088797554E-6i
15361.749466718296                                0.9576653356068425+8.81869912419353E-6i
19414.919457438817                                0.957665298522433+1.0838986770365258E-5i
24537.51106639822                                 0.9576652416283138+1.3479865447099308E-5i
31011.689265747817                                0.9576651689243408+1.6894112462050724E-5i
39194.06774847221                                 0.9576650849856939+2.1277073313296182E-5i
49535.352089591805                                0.9576649961975889+2.6877703996375684E-5i
62605.16572014828                                 0.9576649125281265+3.401238838549414E-5i
79123.42618981327                                 0.9576648501245211+4.308227770116192E-5i
100000                                            0.9576648352112787+5.4595087089375365E-5i
