% Model:              Partikelgitter_endlich.mph
% Version:            COMSOL 6.2.0.415
% Date:               Jul 10 2025, 16:00
% Table:              Table 2 - Point Evaluation 1
% freq (Hz)                                       real( intopW(-D*F*d(c0*exp(-e/(kB*T)*U0W)+cp, y)+D*F*d(c0*exp(+e/(kB*T)*U0W)+cn, y)-F*mu*(c0*exp(-e/(kB * T)*U0W)+c0*exp(+e/(kB * T)*U0W)+cp+cn)*(U0Wy+UWy)-i*2*pi*freq*eps0*epsW*UWy)/Ka/E0 + intopP(-i*2*pi*freq*eps0*epsP*UPy)/Ka/E0 + intopS(i*2*pi*freq*(y-if(S==0, 0, intopS(y*(S+sS)) / intopS(S+sS)))*S)/Ka/E0) / (2*L)^2+i*imag( intopW(-D*F*d(c0*exp(-e/(kB*T)*U0W)+cp, y)+D*F*d(c0*exp(+e/(kB*T)*U0W)+cn, y)-F*mu*(c0*exp(-e/(kB * T)*U0W)+c0*exp(+e/(kB * T)*U0W)+cp+cn)*(U0Wy+UWy)-i*2*pi*freq*eps0*epsW*UWy)/Ka/E0 + intopP(-i*2*pi*freq*eps0*epsP*UPy)/Ka/E0 + intopS(i*2*pi*freq*(y-if(S==0, 0, intopS(y*(S+sS)) / intopS(S+sS)))*S)/Ka/E0) / (2*L)^2 (1), Point: 2
0.015915494309189534                              0.779791188894524+5.276426272311269E-6i
0.020114768881480238                              0.7797913502698497+6.6636061617220226E-6i
0.02542201450329754                               0.7797916264427427+8.39989592535673E-6i
0.03212956734496226                               0.7797920213054395+1.0562869222398357E-5i
0.040606895949987044                              0.7797926379514007+1.3237761221919561E-5i
0.05132095247313115                               0.7797935853996966+1.6508153970555356E-5i
0.06486189355604333                               0.779794839246058+2.0439070772780267E-5i
0.08197558760972108                               0.7797969213518098+2.506005996819428E-5i
0.10360469908502909                               0.7797995655085654+3.033468386824558E-5i
0.1309406127541627                                0.7798031873856078+3.61789589374324E-5i
0.1654890581204643                                0.7798076598715971+4.250580132056277E-5i
0.2091530487108385                                0.7798129131687198+4.9328850480187014E-5i
0.2643377047514229                                0.7798189975125682+5.683571246300808E-5i
0.3340827331178628                                0.7798256034565021+6.537206270960407E-5i
0.42222986188238976                               0.7798332352502848+7.536137985361746E-5i
0.5336344521652551                                0.779842609716879+8.717114374002388E-5i
0.6744329433928862                                0.7798544096746771+1.0092612065237636E-4i
0.8523808635067881                                0.779869689794578+1.1628214559973032E-4i
1.077280022558639                                 0.7798898852613846+1.3219408579214937E-4i
1.3615184205677566                                0.7799148930752288+1.468491554123886E-4i
1.7207526090965017                                0.7799446410895361+1.5803396536310575E-4i
2.174770092701119                                 0.7799769729780904+1.63981552710129E-4i
2.748579273455567                                 0.7800090150834783+1.6432803678289258E-4i
3.4737869753792743                                0.7800382599789507+1.6041116143959914E-4i
4.3903394262096676                                0.7800634498804965+1.5463154198829023E-4i
5.548722594086688                                 0.7800845654833267+1.4941796952388207E-4i
7.012743079117393                                 0.7801030249409252+1.4649764826621007E-4i
8.863042738182456                                 0.7801202433793689+1.4666097694889064E-4i
11.201540637181779                                0.7801380272500607+1.4985330127045284E-4i
14.157047004397693                                0.7801572221983576+1.5543158460950133E-4i
17.892358415364416                                0.780178456914057+1.625401827974411E-4i
22.61322502951467                                 0.7802016784827795+1.7052298588250258E-4i
28.579683816101014                                0.7802270253278969+1.7909353619655465E-4i
36.12038203140972                                 0.7802544503011329+1.880998105642426E-4i
45.650679919697446                                0.7802846284138265+1.970696796410142E-4i
57.695529779238484                                0.7803178463405613+2.0498633940280238E-4i
72.91839162883278                                 0.7803535207902598+2.1055836585067662E-4i
92.15777822095971                                 0.780390392197853+2.128622631881773E-4i
116.47344239097755                                0.7804272908417043+2.118758596591436E-4i
147.20475085540838                                0.7804625593781727+2.0842513209197287E-4i
186.04445983199884                                0.7804961613099632+2.0358086532759942E-4i
235.13195622455422                                0.7805281155020912+1.9802221816979287E-4i
297.17110032682865                                0.7805590398523371+1.9185367736033722E-4i
375.57916111207015                                0.7805890212684554+1.8487833238169793E-4i
474.67504783106165                                0.7806175333081028+1.7697202084551904E-4i
599.9172061790389                                 0.7806442663940248+1.6822514560065988E-4i
758.2042829387425                                 0.7806690866945011+1.5888677908314444E-4i
958.2551204492191                                 0.7806915018435961+1.493043751301888E-4i
1211.089011932334                                 0.7807115453680105+1.399200954915743E-4i
1530.632671324154                                 0.7807287567460046+1.3127143227218435E-4i
1934.4873510055586                                0.780743626371426+1.2396774042658227E-4i
2444.8983621675043                                0.7807557561686048+1.1867964025229166E-4i
3089.9804013824064                                0.7807654758574912+1.1612595351737295E-4i
3905.266177389361                                 0.7807732410899856+1.1706738680027169E-4i
4935.663640273636                                 0.7807791762731705+1.223291360679738E-4i
6237.9296220479855                                0.7807835169568987+1.3282451293715556E-4i
7883.796142855983                                 0.7807867337248209+1.4961257671446452E-4i
9963.921587448876                                 0.7807892520267736+1.7396948186398058E-4i
12592.884392475513                                0.7807914274097785+2.074802199133581E-4i
15915.494309189535                                0.7807930255460629+2.5215266622095824E-4i
