% Model:              Elementarzelle_halbiert.mph
% Version:            COMSOL 6.2.0.415
% Date:               Jul 14 2025, 18:42
% Table:              Table 1 - Global Evaluation 3
% freq (Hz)                             d=5E-8
0.015915494309189534                    0.0398804871561434+5.16598476494595e-06i
0.020915304871083843                    0.0398805128390333+6.78860919205175e-06i
0.027485792734555654                    0.0398805575275164+8.92065606590314e-06i
0.03612038203140968                     0.0398806381689644+1.17217592277392e-05i
0.04746750478310612                     0.0398807653443462+1.54011539424875e-05i
0.06237929622047983                     0.0398809885341423+2.02326782977474e-05i
0.08197558760972107                     0.0398813824527257+2.65735371855915e-05i
0.1077280022558639                      0.0398820594546238+3.48870826295168e-05i
0.1415704700439769                      0.0398832204496522+4.5768859153337e-05i
0.18604445983199888                     0.0398852184932985+5.99710560279612e-05i
0.24448983621675013                     0.0398886466188484+7.84150115307912e-05i
0.3212956734496226                      0.0398944619557593+0.000102164317240493i
0.42222986188238953                     0.0399042561620944+0.000132303376071845i
0.5548722594086685                      0.0399204329788501+0.000169620753905875i
0.7291839162883279                      0.0399463944796428+0.000213961601455654i
0.958255120449218                       0.0399861296809194+0.00026320381320188i
1.2592884392475505                      0.0400427930670744+0.000312273816945602i
1.6548905812046433                      0.0401160311788601+0.000353514531986555i
2.174770092701119                       0.0401997009502839+0.000379889584444871i
2.857968381610101                       0.0402833630450784+0.000389861652198874i
3.7557916111207015                      0.0403578104249652+0.00038934390992968i
4.9356636402736305                      0.0404197852021415+0.000388385570402273i
6.486189355604334                       0.040472351458534+0.000396101250271073i
8.523808635067885                       0.0405221558987005+0.0004177812472313i
11.201540637181768                      0.0405764245206955+0.000454510396367637i
14.720475085540837                      0.0406407824132338+0.000504257085331948i
19.344873510055564                      0.0407182338861702+0.00056402490681562i
25.42201450329753                       0.0408103065483029+0.000632050673485023i
33.40827331178628                       0.0409198271680171+0.000707608219673589i
43.90339426209668                       0.0410518067253151+0.000787722103235824i
57.695529779238484                      0.0412100474554405+0.000864336145718011i
75.82042829387424                       0.0413918181615166+0.000926336733009184i
99.63921587448867                       0.041586598443396+0.000966417842207446i
130.94061275416274                      0.0417820394649157+0.000986476405857431i
172.07526090965018                      0.0419721455432667+0.0009949589383664i
226.13225029514692                      0.0421589027244646+0.000998731022900934i
297.17110032682865                      0.0423465255717806+0.000998369870619005i
390.5266177389353                       0.0425359377843552+0.000990524619160122i
513.209524731312                        0.0427244576074226+0.000972529722903389i
674.4329433928862                       0.0429085015088702+0.000943782264616699i
886.3042738182446                       0.043084735674991+0.000904746199880154i
1164.7344239097756                      0.0432497941747909+0.000856635664761327i
1530.632671324154                       0.0434004594023788+0.000801712397396229i
2011.4768881480225                      0.0435340158711583+0.000743359127653992i
2643.3770475142305                      0.0436486229184674+0.000685969898202183i
3473.7869753792743                      0.0437435327429988+0.000634736138120957i
4565.0679919697495                      0.0438192608372838+0.000595365966350236i
5999.172061790388                       0.0438773962645267+0.000573836870927139i
7883.7961428559665                      0.0439204391780521+0.000576294441454277i
10360.469908502919                      0.0439513465074476+0.000609186093855386i
13615.184205677566                      0.0439732317944986+0.000679670435669322i
17892.3584153644                        0.0439891491988065+0.00079629471344114i
23513.19562245542                       0.0440019578144944+0.000969906713376026i
30899.80401382406                       0.0440146209348597+0.00121477067652012i
40606.895949987025                      0.044030516515017+0.00154989431669186i
53363.44521652553                       0.0440542708741857+0.00200060722201899i
70127.43079117393                       0.0440930159913913+0.00260045856767713i
92157.77822095962                       0.0441584689512951+0.00339348201117929i
121108.90119323341                      0.0442703892032506+0.00443677584125314i
159154.94309189534                      0.044462328222209+0.00580307936811874i
