% Model:              one_particle_2d.mph
% Version:            COMSOL 6.2.0.415
% Date:               Dec 12 2024, 14:38
% Table:              Tabelle 2 - Linienintegration 1
% w                                               (-D*F*u21y+D*F*u22y-F*mu*(c0+u21)*u23y-F*mu*(c0+u22)*u23y)/(sigma0*E0*2*L) (1)
0.1                                               0.9844147948324514+1.054549012360019E-7i
0.1263848202934298                                0.9844147950282386+1.332782180955172E-7i
0.15973122800602543                               0.9844147953409256+1.6844188339720701E-7i
0.2018760254679039                                0.9844147958405545+2.128818365050215E-7i
0.25514065200312885                               0.9844147966384242+2.6904399763300284E-7i
0.32245905452963947                               0.9844147979127944+3.400179972901309E-7i
0.4075392965871777                                0.984414799948256+4.2970534646930285E-7i
0.5150678076168125                                0.9844148031989632+5.43030277383746E-7i
0.6509675230458171                                0.9844148083900303+6.862027846741237E-7i
0.822724134170047                                 0.98441481667852+8.670441590083054E-7i
1.03979841848149                                  0.9844148299094385+1.0953845018511202E-6i
1.3141473626117568                                0.984414851021882+1.383537184700982E-6i
1.6608827826277157                                0.9844148846905442+1.7468425190410342E-6i
2.0991037201085545                                0.9844149383313279+2.2042432829179475E-6i
2.6529484644318972                                0.9844150236603457+2.778791282739245E-6i
3.3529241492495583                                0.9844151590666357+3.4978559392991555E-6i
4.237587160604064                                 0.9844153731090974+4.3925608636622545E-6i
5.355666917706899                                 0.9844157093941345+5.495538681755174E-6i
6.768750009458534                                 0.984416232696393+6.8354077603633805E-6i
8.554672535565684                                 0.9844170349985323+8.425543472098657E-6i
10.811807510766078                                0.9844182374240505+1.0244444246691648E-5i
13.664483492953257                                0.9844199795354184+1.2207357221876396E-5i
17.26983290659436                                 0.9844223836252941+1.4137503776044086E-5i
21.826447283974872                                0.9844254875474793+1.576148237055216E-5i
27.58531617629184                                 0.9844291678943075+1.676389902488133E-5i
34.863652276780876                                0.9844331156494209+1.6908204334386594E-5i
44.06236427773573                                 0.9844369201445103+1.615786848713439E-5i
55.68813990945273                                 0.9844402263728755+1.4697135356141116E-5i
70.38135554931561                                 0.9844428510866622+1.2831926871159291E-5i
88.95134973108236                                 0.9844447891004179+1.0858280731600833E-5i
112.42100350620873                                0.9844461448341798+8.984917145233906E-6i
142.08308325339223                                0.9844470577907957+7.322895152302689E-6i
179.5714494371641                                 0.9844476569161771+5.910338745832871E-6i
226.9510536694671                                 0.9844480434588367+4.742487854833642E-6i
286.83168133420116                                0.9844482901175103+3.7942855611773457E-6i
362.51170499885353                                0.9844484464103838+3.0339905888734424E-6i
458.1597669054491                                 0.9844485450028786+2.4302100572798084E-6i
579.0443980602489                                 0.9844486070222692+1.954988438710008E-6i
731.8242219076182                                 0.9844486459670252+1.5848099416846606E-6i
924.9147277217335                                 0.9844486703962532+1.3006128653979783E-6i
1168.9518164985777                                0.9844486857114035+1.0874044385757996E-6i
1477.3776525985127                                0.9844486953117941+9.337693200519774E-7i
1867.1810912919207                                0.9844487013333064+8.31408078998861E-7i
2359.8334667821937                                0.9844487051175065+7.747633222030172E-7i
2982.471286216894                                 0.9844487075085353+7.60755031373013E-7i
3769.3909753883636                                0.9844487090397784+7.886314669838632E-7i
4763.938010401341                                 0.9844487100531311+8.59937976076652E-7i
6020.894493336138                                 0.9844487107748011+9.786071432370424E-7i
7609.496685459883                                 0.9844487113660206+1.1511779578942432E-6i
9617.248711152964                                 0.9844487119588261+1.3871571443261973E-6i
12154.742500762884                                0.9844487126855941+1.6995434371017434E-6i
15361.749466718296                                0.9844487137086599+2.1055437897381586E-6i
19414.919457438817                                0.9844487152565682+2.627521135547121E-6i
24537.51106639822                                 0.9844487176750121+3.2942259414645647E-6i
31011.689265747817                                0.9844487215042294+4.1423790900513985E-6i
39194.06774847221                                 0.9844487275994552+5.218693159617305E-6i
49535.352089591805                                0.9844487373221416+6.582442472797427E-6i
62605.16572014828                                 0.984448752843729+8.308722047141203E-6i
79123.42618981327                                 0.9844487776307879+1.049257181798814E-5i
100000                                            0.9844488172186382+1.3254187191615465E-5i
