							% Model:              one_particle_2d.mph
% Version:            COMSOL 6.2.0.415
% Date:               Dec 12 2024, 14:43
% Table:              Tabelle 2 - Linienintegration 1
% w                                               (-D*F*u21y+D*F*u22y-F*mu*(c0+u21)*u23y-F*mu*(c0+u22)*u23y)/(sigma0*E0*2*L) (1)
0.1                                               0.9844937061266237+1.460442516777757E-7i
0.1263848202934298                                0.9844937067946713+1.8457114790063496E-7i
0.15973122800602543                               0.9844937078615477+2.3325656006709562E-7i
0.2018760254679039                                0.9844937095654694+2.9477392728349646E-7i
0.25514065200312885                               0.984493712286442+3.7249509777514535E-7i
0.32245905452963947                               0.9844937166309239+4.7066748736502716E-7i
0.4075392965871777                                0.9844937235657621+5.946308236863124E-7i
0.5150678076168125                                0.9844937346312607+7.510766260401301E-7i
0.6509675230458171                                0.9844937522776461+9.483472429659489E-7i
0.822724134170047                                 0.9844937803896697+1.1967564846618025E-6i
1.03979841848149                                  0.9844938251060238+1.5088813196476043E-6i
1.3141473626117568                                0.9844938960586403+1.8997104250687867E-6i
1.6608827826277157                                0.984494008208187+2.3864116636761527E-6i
2.0991037201085545                                0.9844941844129695+2.9872642656719894E-6i
2.6529484644318972                                0.9844944587049657+3.718956216177537E-6i
3.3529241492495583                                0.9844948796929779+4.591006677778482E-6i
4.237587160604064                                 0.98449551223566+5.595821108325959E-6i
5.355666917706899                                 0.9844964332159497+6.693764353911301E-6i
6.768750009458534                                 0.9844977147878448+7.796585087499606E-6i
8.554672535565684                                 0.9844993901045644+8.760966133817216E-6i
10.811807510766078                                0.9845014096813566+9.411617147110488E-6i
13.664483492953257                                0.9845036194838709+9.602985891633228E-6i
17.26983290659436                                 0.9845057960203795+9.290788849574322E-6i
21.826447283974872                                0.9845077302550996+8.556547481785722E-6i
27.58531617629184                                 0.9845093005483507+7.56245321893772E-6i
34.863652276780876                                0.984510487275902+6.477402555605304E-6i
44.06236427773573                                 0.9845113395907394+5.426917013545238E-6i
55.68813990945273                                 0.98451193265679+4.481620645394373E-6i
70.38135554931561                                 0.9845123391103472+3.6688517440367574E-6i
88.95134973108236                                 0.9845126172044112+2.98953363681538E-6i
112.42100350620873                                0.9845128092283674+2.4315713306824016E-6i
142.08308325339223                                0.9845129441604449+1.978167431936408E-6i
179.5714494371641                                 0.9845130411963744+1.6122112955903066E-6i
226.9510536694671                                 0.9845131128129517+1.3182519174629671E-6i
286.83168133420116                                0.9845131670480861+1.0831724097084199E-6i
362.51170499885353                                0.9845132090719492+8.962422890024066E-7i
458.1597669054491                                 0.984513242223595+7.489139601006248E-7i
579.0443980602489                                 0.9845132686783834+6.345449757491295E-7i
731.8242219076182                                 0.9845132898710597+5.481308377546538E-7i
924.9147277217335                                 0.9845133067607563+4.860820650192631E-7i
1168.9518164985777                                0.9845133199982755+4.46058032664046E-7i
1477.3776525985127                                0.9845133300292415+4.2685921179240953E-7i
1867.1810912919207                                0.9845133371597992+4.2837777827244393E-7i
2359.8334667821937                                0.9845133415977219+4.5160575217291934E-7i
2982.471286216894                                 0.984513343479104+4.987025631613542E-7i
3769.3909753883636                                0.984513342885527+5.731263330428198E-7i
4763.938010401341                                 0.9845133398571214+6.798359195202534E-7i
6020.894493336138                                 0.9845133344017549+8.255753914282661E-7i
7609.496685459883                                 0.9845133265050958+1.0192568831335842E-6i
9617.248711152964                                 0.9845133161417433+1.2724624230636383E-6i
12154.742500762884                                0.9845133032904854+1.6000926912845542E-6i
15361.749466718296                                0.9845132879576857+2.0211982916164114E-6i
19414.919457438817                                0.9845132702125716+2.560039091877768E-6i
24537.51106639822                                 0.9845132502429476+3.2474297683097163E-6i
31011.689265747817                                0.9845132284447338+4.122444738163841E-6i
39194.06774847221                                 0.9845132055612815+5.234575080241605E-6i
49535.352089591805                                0.9845131829064859+6.646454400563023E-6i
62605.16572014828                                 0.9845131627157135+8.437300129738786E-6i
79123.42618981327                                 0.9845131487041285+1.0707253610079466E-5i
100000                                            0.9845131469478119+1.3582846903383634E-5i
