% Model:              modelG_beltrami_2_particles.mph
% Version:            COMSOL 6.2.0.415
% Date:               Jan 20 2025, 14:26
% Table:              Tabelle 1 - sigma_eff ((dflux.u21-dflux.u22)*2*pi/(pi*L^2)/E0/(2*mu*c0))
% w                                               Normalized effective conductivity
0.1                                               0.9990000783832074+5.116925664566583E-9i
0.1263848202934298                                0.9990000783879488+6.467007952241409E-9i
0.15973122800602543                               0.9990000783954912+8.17329751012569E-9i
0.2018760254679039                                0.9990000784076988+1.0329769274342902E-8i
0.25514065200312885                               0.9990000784270376+1.3055183432556392E-8i
0.32245905452963947                               0.9990000784579811+1.649961487461131E-8i
0.4075392965871777                                0.9990000785074287+2.0852695183707044E-8i
0.5150678076168125                                0.9990000785864146+2.6354008684388243E-8i
0.6509675230458171                                0.9990000787124761+3.330618936985746E-8i
0.822724134170047                                 0.9990000789139268+4.209138965851467E-8i
1.03979841848149                                  0.9990000792355781+5.3191923775675546E-8i
1.3141473626117568                                0.9990000797492271+6.721601530548398E-8i
1.6608827826277157                                0.9990000805693772+8.492964829163264E-8i
2.0991037201085545                                0.9990000818786563+1.072954293600966E-7i
2.6529484644318972                                0.9990000839677046+1.3551891482920792E-7i
3.3529241492495583                                0.9990000872991175+1.7110156518625365E-7i
4.237587160604064                                 0.9990000926063893+2.1589652510797702E-7i
5.355666917706899                                 0.9990001010482145+2.7215707095210853E-7i
6.768750009458534                                 0.9990001144425692+3.425547704647878E-7i
8.554672535565684                                 0.999000135611108+4.301199937047385E-7i
10.811807510766078                                0.999000168858127+5.380142010119621E-7i
13.664483492953257                                0.999000220567921+6.689758062249913E-7i
17.26983290659436                                 0.9990002997833615+8.242011369007028E-7i
21.826447283974872                                0.9990004183612381+1.0014011821932174E-6i
27.58531617629184                                 0.999000589855301+1.1920226895038868E-6i
34.863652276780876                                0.9990008259234477+1.3784974705755432E-6i
44.06236427773573                                 0.9990011297014884+1.5339765958557074E-6i
55.68813990945273                                 0.9990014884270446+1.627932480007651E-6i
70.38135554931561                                 0.9990018714596326+1.63806487554847E-6i
88.95134973108236                                 0.9990022388829112+1.561814778632513E-6i
112.42100350620873                                0.9990025568319313+1.417820455580577E-6i
142.08308325339223                                0.9990028083507758+1.23595124665979E-6i
179.5714494371641                                 0.9990029935613335+1.0446475508514776E-6i
226.9510536694671                                 0.9990031228714521+8.637197347808899E-7i
286.83168133420116                                0.9990032098321074+7.035679719502477E-7i
362.51170499885353                                0.9990032668486283+5.676505958837713E-7i
458.1597669054491                                 0.9990033036129202+4.55381355968404E-7i
579.0443980602489                                 0.9990033270639775+3.6428001815183E-7i
731.8242219076182                                 0.9990033419200034+2.9125883783177057E-7i
924.9147277217335                                 0.9990033512900662+2.3328295389211466E-7i
1168.9518164985777                                0.9990033571837976+1.8765794530910454E-7i
1477.3776525985127                                0.9990033608846434+1.5212102158257524E-7i
1867.1810912919207                                0.999003363206229+1.2483971077676855E-7i
2359.8334667821937                                0.9990033646619281+1.0437353071822166E-7i
2982.471286216894                                 0.9990033655749305+8.962605577026292E-8i
3769.3909753883636                                0.9990033661483705+7.980032013718318E-8i
4763.938010401341                                 0.9990033665099387+7.436269822574261E-8i
6020.894493336138                                 0.9990033667404373+7.301745286420134E-8i
7609.496685459883                                 0.9990033668911801+7.569234305356307E-8i
9617.248711152964                                 0.999003366995872+8.253564811015614E-8i
12154.742500762884                                0.9990033670779094+9.392474044274879E-8i
15361.749466718296                                0.9990033671555177+1.1048719333438925E-7i
19414.919457438817                                0.9990033672461286+1.331353700365603E-7i
24537.51106639822                                 0.9990033673699684+1.631168035346988E-7i
31011.689265747817                                0.9990033675545946+2.0208281767330138E-7i
39194.06774847221                                 0.9990033678413893+2.521795232143144E-7i
49535.352089591805                                0.9990033682943179+3.161658425680391E-7i
62605.16572014828                                 0.9990033690145729+3.9756524081302216E-7i
79123.42618981327                                 0.9990033701629736+5.008592505123403E-7i
100000                                            0.9990033719960966+6.317332081072258E-7i
